markov,philipp,random
15.250139214852789,16.10426109246145,18.415793554632657
14.735900341403942,16.266293368086146,18.89062108561275
15.03124738119002,16.422466955025683,19.180863066938617
16.151531739127158,16.46645610862496,19.0829297635802
16.073570738851473,16.381673552952694,19.117632814009305
14.669308011782299,16.371575584028577,18.839784480146204
15.868905067297574,16.369312046739946,18.76280220251208
14.63830928116889,16.473493779278616,19.156796470961915
15.509092272093953,16.329149630635083,19.195351522551757
15.423533828372559,16.234683428554764,19.21008514933652
16.387223792468525,16.768563173829197,18.96262163877892
16.053368445369657,16.937193231846088,19.216843495023845
13.73500438112751,16.38780251211035,18.960819281151405
14.30620415016894,16.512677465551032,18.70423053199289
15.000071511121643,16.38561250350021,18.679917731751363
15.175614266252976,16.897048025377725,19.142356187267918
15.246418284239292,16.249424352736828,18.836735167913496
15.836738874118021,16.276799816050627,18.48591500907248
15.638065927725103,15.785664902932904,18.957685392014096
15.599630953178032,16.745579049169063,19.09197431414406
14.680610048955078,16.44254026984225,19.035141713574994
16.350062296201795,16.600579020988402,18.884911181863156
14.409136463305453,16.55593756813672,18.539485601835935
15.563931439220479,15.930040670819718,19.205789340009915
15.949976771340665,16.213247440007684,18.81831631617028
15.464451384043324,16.919117228209537,18.992584027077385
15.6292855016223,16.405901917606204,19.206549311317513
14.064365466875529,16.26752897228634,18.683253204723677
15.143160306864983,16.47469411248124,18.654079304246228
14.898910350286178,15.984658811967602,19.221659754438306
15.983213056080462,16.366298075448785,19.39097663579541
15.886272189346938,16.457914883721553,19.13963074717281
14.879813375366917,15.984184256043669,19.038575580726274
15.419892824922973,16.41139451975044,18.5582462504264
15.700544995739847,16.6169850836321,18.913200691726725
16.06764798789419,16.22378962967495,19.196721796776895
13.18387492990625,16.31091215142361,18.623281950520266
14.536065498222705,16.51933418222437,19.463529095482837
15.661355638018147,16.434295578331398,19.00997546832834
15.169611102533413,15.791095163187524,18.885178384916145
14.959900137312324,16.77569005936907,18.874161420587296
15.065947131886583,16.28424414801717,18.549891517155473
14.284308442365393,16.65925545584274,19.382118527001758
14.782128393509087,16.070952156152593,18.729613013375523
15.267145480278248,16.442835007169407,19.010952529505456
15.065656227615763,16.411316250464868,20.050118948539964
14.996802199594068,16.93232436744152,19.036198628153915
16.001423859824612,16.533222683712918,18.61015171381284
14.847907512442212,16.333961875433417,18.712102646774696
14.53476995880809,16.08307837424376,18.994559102302013
15.117867975410734,15.92437101651857,18.51691584380777
15.42910630263294,16.27134846890513,18.735777382542025
13.815206249724726,16.34573930986373,19.182052873510294
15.337798659209474,16.32391344670919,19.185711460963052
14.193917590054799,16.450363561101696,19.751447972096273
15.971531446131207,16.50711836239881,19.09704325554593
15.411291950386893,17.04786467307774,18.71489653479169
14.496695516802095,16.62509126433091,19.050632068492323
13.874751758488168,16.196038631515695,19.296355844753773
14.568436732901382,16.504205568021167,19.179757463072697
15.419049097326301,16.160957356548295,18.74597469872503
14.846315534670648,17.45870450671419,19.048575841653538
14.004525906028638,15.99609564877293,19.14560260223312
